,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
1,2,coop,coop,HG,none,trust,batch7,8028,live,4,complete,0.64
2,3,coop,coop,PD,none,trust,batch7,8028,live,4,complete,0.64
3,4,def,coop,SG,none,trust,batch7,8028,live,4,complete,0.64
0,1,coop,coop,SH,none,trust,batch7,8028,live,4,complete,0.64
1,2,coop,coop,HG,none,trust,batch7,8030,live,4,complete,0.33
2,3,def,coop,PD,none,trust,batch7,8030,live,4,complete,0.33
3,4,coop,coop,SG,none,trust,batch7,8030,live,4,complete,0.33
0,1,coop,coop,SH,none,trust,batch7,8030,live,4,complete,0.33
1,2,coop,coop,HG,trust,opt,batch7,8032,live,4,complete,0.25
2,3,coop,def,PD,trust,opt,batch7,8032,live,4,complete,0.25
3,4,coop,def,SG,trust,opt,batch7,8032,live,4,complete,0.25
0,1,coop,coop,SH,trust,opt,batch7,8032,live,4,complete,0.25
1,2,coop,coop,HG,trust,opt,batch7,8036,live,4,complete,0.62
2,3,coop,def,PD,trust,opt,batch7,8036,live,4,complete,0.62
3,4,coop,def,SG,trust,opt,batch7,8036,live,4,complete,0.62
0,1,coop,coop,SH,trust,opt,batch7,8036,live,4,complete,0.62
1,2,coop,coop,HG,opt,trust,batch7,8037,live,4,complete,0.33
2,3,def,coop,PD,opt,trust,batch7,8037,live,4,complete,0.33
3,4,def,coop,SG,opt,trust,batch7,8037,live,4,complete,0.33
0,1,coop,coop,SH,opt,trust,batch7,8037,live,4,complete,0.33
1,2,coop,coop,HG,Nash,Nash,batch7,8038,live,4,complete,0.5
2,3,def,def,PD,Nash,Nash,batch7,8038,live,4,complete,0.5
3,4,def,def,SG,Nash,Nash,batch7,8038,live,4,complete,0.5
0,1,def,def,SH,Nash,Nash,batch7,8038,live,4,complete,0.5
1,2,coop,coop,HG,pess,none,batch7,8039,live,4,complete,0.71
2,3,def,coop,PD,pess,none,batch7,8039,live,4,complete,0.71
3,4,coop,coop,SG,pess,none,batch7,8039,live,4,complete,0.71
0,1,def,def,SH,pess,none,batch7,8039,live,4,complete,0.71
1,2,coop,coop,HG,trust,trust,batch7,8043,live,4,complete,0.15
2,3,coop,coop,PD,trust,trust,batch7,8043,live,4,complete,0.15
3,4,coop,coop,SG,trust,trust,batch7,8043,live,4,complete,0.15
0,1,coop,coop,SH,trust,trust,batch7,8043,live,4,complete,0.15
1,2,coop,coop,HG,trust,trust,batch7,8044,live,4,complete,0.24
2,3,coop,coop,PD,trust,trust,batch7,8044,live,4,complete,0.24
3,4,coop,coop,SG,trust,trust,batch7,8044,live,4,complete,0.24
0,1,coop,coop,SH,trust,trust,batch7,8044,live,4,complete,0.24
1,2,coop,coop,HG,Nash,pess,batch7,8046,live,4,complete,0.49
2,3,def,def,PD,Nash,pess,batch7,8046,live,4,complete,0.49
3,4,def,coop,SG,Nash,pess,batch7,8046,live,4,complete,0.49
0,1,def,def,SH,Nash,pess,batch7,8046,live,4,complete,0.49
1,2,coop,coop,HG,trust,trust,batch7,8048,live,4,complete,0.4
2,3,coop,coop,PD,trust,trust,batch7,8048,live,4,complete,0.4
3,4,coop,coop,SG,trust,trust,batch7,8048,live,4,complete,0.4
0,1,coop,coop,SH,trust,trust,batch7,8048,live,4,complete,0.4
1,2,coop,coop,HG,trust,none,batch7,8049,live,4,complete,0.18
2,3,coop,coop,PD,trust,none,batch7,8049,live,4,complete,0.18
3,4,coop,def,SG,trust,none,batch7,8049,live,4,complete,0.18
0,1,coop,coop,SH,trust,none,batch7,8049,live,4,complete,0.18
1,2,coop,coop,HG,none,pess,batch7,8051,live,4,complete,0.7
2,3,coop,def,PD,none,pess,batch7,8051,live,4,complete,0.7
3,4,coop,coop,SG,none,pess,batch7,8051,live,4,complete,0.7
0,1,def,def,SH,none,pess,batch7,8051,live,4,complete,0.7
1,2,coop,coop,HG,none,trust,batch7,8052,live,4,complete,0.56
2,3,coop,coop,PD,none,trust,batch7,8052,live,4,complete,0.56
3,4,def,coop,SG,none,trust,batch7,8052,live,4,complete,0.56
0,1,coop,coop,SH,none,trust,batch7,8052,live,4,complete,0.56
1,2,coop,coop,HG,trust,none,batch7,8055,live,4,complete,0.22
2,3,coop,coop,PD,trust,none,batch7,8055,live,4,complete,0.22
3,4,coop,def,SG,trust,none,batch7,8055,live,4,complete,0.22
0,1,coop,coop,SH,trust,none,batch7,8055,live,4,complete,0.22
1,2,coop,coop,HG,trust,opt,batch7,8056,live,4,complete,0.44
2,3,coop,def,PD,trust,opt,batch7,8056,live,4,complete,0.44
3,4,coop,def,SG,trust,opt,batch7,8056,live,4,complete,0.44
0,1,coop,coop,SH,trust,opt,batch7,8056,live,4,complete,0.44
1,2,coop,def,HG,opt,none,batch7,8058,live,4,complete,0.27
2,3,def,coop,PD,opt,none,batch7,8058,live,4,complete,0.27
3,4,def,coop,SG,opt,none,batch7,8058,live,4,complete,0.27
0,1,coop,def,SH,opt,none,batch7,8058,live,4,complete,0.27
1,2,def,coop,HG,none,trust,batch7,8059,live,4,complete,0.54
2,3,def,coop,PD,none,trust,batch7,8059,live,4,complete,0.54
3,4,coop,coop,SG,none,trust,batch7,8059,live,4,complete,0.54
0,1,coop,coop,SH,none,trust,batch7,8059,live,4,complete,0.54
1,2,coop,coop,HG,none,none,batch7,8061,live,4,complete,0.63
2,3,coop,coop,PD,none,none,batch7,8061,live,4,complete,0.63
3,4,def,def,SG,none,none,batch7,8061,live,4,complete,0.63
0,1,coop,coop,SH,none,none,batch7,8061,live,4,complete,0.63
1,2,coop,coop,HG,trust,none,batch7,8062,live,4,complete,0.23
2,3,coop,coop,PD,trust,none,batch7,8062,live,4,complete,0.23
3,4,coop,def,SG,trust,none,batch7,8062,live,4,complete,0.23
0,1,coop,coop,SH,trust,none,batch7,8062,live,4,complete,0.23
1,2,coop,coop,HG,trust,none,batch7,8063,live,4,complete,0.32
2,3,coop,def,PD,trust,none,batch7,8063,live,4,complete,0.32
3,4,coop,coop,SG,trust,none,batch7,8063,live,4,complete,0.32
0,1,coop,coop,SH,trust,none,batch7,8063,live,4,complete,0.32
1,2,coop,coop,HG,opt,opt,batch7,8064,live,4,complete,0.62
2,3,def,def,PD,opt,opt,batch7,8064,live,4,complete,0.62
3,4,def,def,SG,opt,opt,batch7,8064,live,4,complete,0.62
0,1,coop,coop,SH,opt,opt,batch7,8064,live,4,complete,0.62
1,2,coop,coop,HG,Nash,none,batch7,8067,live,4,complete,0.54
2,3,def,def,PD,Nash,none,batch7,8067,live,4,complete,0.54
3,4,def,coop,SG,Nash,none,batch7,8067,live,4,complete,0.54
0,1,def,coop,SH,Nash,none,batch7,8067,live,4,complete,0.54
1,2,coop,coop,HG,trust,none,batch7,8069,live,4,complete,0.29
2,3,coop,coop,PD,trust,none,batch7,8069,live,4,complete,0.29
3,4,coop,def,SG,trust,none,batch7,8069,live,4,complete,0.29
0,1,coop,coop,SH,trust,none,batch7,8069,live,4,complete,0.29
1,2,coop,coop,HG,Nash,Nash,batch7,8071,live,4,complete,0.29
2,3,def,def,PD,Nash,Nash,batch7,8071,live,4,complete,0.29
3,4,def,def,SG,Nash,Nash,batch7,8071,live,4,complete,0.29
0,1,def,def,SH,Nash,Nash,batch7,8071,live,4,complete,0.29
1,2,coop,coop,HG,trust,trust,batch7,8073,live,4,complete,0.21
2,3,coop,coop,PD,trust,trust,batch7,8073,live,4,complete,0.21
3,4,coop,coop,SG,trust,trust,batch7,8073,live,4,complete,0.21
0,1,coop,coop,SH,trust,trust,batch7,8073,live,4,complete,0.21
1,2,coop,coop,HG,opt,none,batch7,8076,live,4,complete,0.22
2,3,def,coop,PD,opt,none,batch7,8076,live,4,complete,0.22
3,4,def,def,SG,opt,none,batch7,8076,live,4,complete,0.22
0,1,coop,coop,SH,opt,none,batch7,8076,live,4,complete,0.22
1,2,coop,coop,HG,opt,trust,batch7,8078,live,4,complete,0.21
2,3,def,coop,PD,opt,trust,batch7,8078,live,4,complete,0.21
3,4,def,coop,SG,opt,trust,batch7,8078,live,4,complete,0.21
0,1,coop,coop,SH,opt,trust,batch7,8078,live,4,complete,0.21
1,2,coop,coop,HG,opt,none,batch7,8080,live,4,complete,0.43
2,3,def,def,PD,opt,none,batch7,8080,live,4,complete,0.43
3,4,def,coop,SG,opt,none,batch7,8080,live,4,complete,0.43
0,1,coop,coop,SH,opt,none,batch7,8080,live,4,complete,0.43
1,2,coop,coop,HG,trust,trust,batch8,9005,live,4,complete,0.66
2,3,coop,coop,PD,trust,trust,batch8,9005,live,4,complete,0.66
3,4,coop,coop,SG,trust,trust,batch8,9005,live,4,complete,0.66
0,1,coop,coop,SH,trust,trust,batch8,9005,live,4,complete,0.66
1,2,coop,coop,HG,opt,opt,batch8,9007,live,4,complete,0.62
2,3,def,def,PD,opt,opt,batch8,9007,live,4,complete,0.62
3,4,def,def,SG,opt,opt,batch8,9007,live,4,complete,0.62
0,1,coop,coop,SH,opt,opt,batch8,9007,live,4,complete,0.62
1,2,coop,coop,HG,Nash,opt,batch8,9009,live,4,complete,0.29
2,3,def,def,PD,Nash,opt,batch8,9009,live,4,complete,0.29
3,4,def,def,SG,Nash,opt,batch8,9009,live,4,complete,0.29
0,1,def,coop,SH,Nash,opt,batch8,9009,live,4,complete,0.29
1,2,coop,coop,HG,opt,opt,batch8,9010,live,4,complete,0.31
2,3,def,def,PD,opt,opt,batch8,9010,live,4,complete,0.31
3,4,def,def,SG,opt,opt,batch8,9010,live,4,complete,0.31
0,1,coop,coop,SH,opt,opt,batch8,9010,live,4,complete,0.31
1,2,coop,coop,HG,none,none,batch8,9011,live,4,complete,0.23
2,3,def,def,PD,none,none,batch8,9011,live,4,complete,0.23
3,4,coop,coop,SG,none,none,batch8,9011,live,4,complete,0.23
0,1,coop,coop,SH,none,none,batch8,9011,live,4,complete,0.23
1,2,coop,coop,HG,none,opt,batch8,9012,live,4,complete,0.23
2,3,coop,def,PD,none,opt,batch8,9012,live,4,complete,0.23
3,4,def,def,SG,none,opt,batch8,9012,live,4,complete,0.23
0,1,coop,coop,SH,none,opt,batch8,9012,live,4,complete,0.23
1,2,coop,coop,HG,trust,none,batch8,9013,live,4,complete,0.6
2,3,coop,coop,PD,trust,none,batch8,9013,live,4,complete,0.6
3,4,coop,def,SG,trust,none,batch8,9013,live,4,complete,0.6
0,1,coop,coop,SH,trust,none,batch8,9013,live,4,complete,0.6
1,2,coop,coop,HG,trust,trust,batch8,9014,live,4,complete,0.4
2,3,coop,coop,PD,trust,trust,batch8,9014,live,4,complete,0.4
3,4,coop,coop,SG,trust,trust,batch8,9014,live,4,complete,0.4
0,1,coop,coop,SH,trust,trust,batch8,9014,live,4,complete,0.4
1,2,coop,coop,HG,pess,Nash,batch8,9019,live,4,complete,0.63
2,3,def,def,PD,pess,Nash,batch8,9019,live,4,complete,0.63
3,4,coop,def,SG,pess,Nash,batch8,9019,live,4,complete,0.63
0,1,def,def,SH,pess,Nash,batch8,9019,live,4,complete,0.63
1,2,coop,coop,HG,trust,none,batch8,9021,live,4,complete,0.52
2,3,coop,coop,PD,trust,none,batch8,9021,live,4,complete,0.52
3,4,coop,def,SG,trust,none,batch8,9021,live,4,complete,0.52
0,1,coop,coop,SH,trust,none,batch8,9021,live,4,complete,0.52
1,2,coop,coop,HG,trust,trust,batch8,9022,live,4,complete,0.63
2,3,coop,coop,PD,trust,trust,batch8,9022,live,4,complete,0.63
3,4,coop,coop,SG,trust,trust,batch8,9022,live,4,complete,0.63
0,1,coop,coop,SH,trust,trust,batch8,9022,live,4,complete,0.63
1,2,coop,coop,HG,trust,trust,batch8,9024,live,4,complete,0.65
2,3,coop,coop,PD,trust,trust,batch8,9024,live,4,complete,0.65
3,4,coop,coop,SG,trust,trust,batch8,9024,live,4,complete,0.65
0,1,coop,coop,SH,trust,trust,batch8,9024,live,4,complete,0.65
1,2,coop,coop,HG,trust,none,batch8,9026,live,4,complete,0.43
2,3,coop,def,PD,trust,none,batch8,9026,live,4,complete,0.43
3,4,coop,coop,SG,trust,none,batch8,9026,live,4,complete,0.43
0,1,coop,coop,SH,trust,none,batch8,9026,live,4,complete,0.43
1,2,coop,coop,HG,none,pess,batch8,9028,live,4,complete,0.36
2,3,def,def,PD,none,pess,batch8,9028,live,4,complete,0.36
3,4,coop,coop,SG,none,pess,batch8,9028,live,4,complete,0.36
0,1,coop,def,SH,none,pess,batch8,9028,live,4,complete,0.36
1,2,coop,coop,HG,opt,trust,batch8,9029,live,4,complete,0.66
2,3,def,coop,PD,opt,trust,batch8,9029,live,4,complete,0.66
3,4,def,coop,SG,opt,trust,batch8,9029,live,4,complete,0.66
0,1,coop,coop,SH,opt,trust,batch8,9029,live,4,complete,0.66
1,2,coop,coop,HG,trust,trust,batch8,9030,live,4,complete,0.61
2,3,coop,coop,PD,trust,trust,batch8,9030,live,4,complete,0.61
3,4,coop,coop,SG,trust,trust,batch8,9030,live,4,complete,0.61
0,1,coop,coop,SH,trust,trust,batch8,9030,live,4,complete,0.61
1,2,coop,coop,HG,trust,none,batch8,9031,live,4,complete,0.34
2,3,coop,coop,PD,trust,none,batch8,9031,live,4,complete,0.34
3,4,coop,def,SG,trust,none,batch8,9031,live,4,complete,0.34
0,1,coop,coop,SH,trust,none,batch8,9031,live,4,complete,0.34
1,2,coop,coop,HG,none,opt,batch8,9032,live,4,complete,0.54
2,3,def,def,PD,none,opt,batch8,9032,live,4,complete,0.54
3,4,coop,def,SG,none,opt,batch8,9032,live,4,complete,0.54
0,1,coop,coop,SH,none,opt,batch8,9032,live,4,complete,0.54
1,2,coop,coop,HG,opt,trust,batch8,9033,live,4,complete,0.46
2,3,def,coop,PD,opt,trust,batch8,9033,live,4,complete,0.46
3,4,def,coop,SG,opt,trust,batch8,9033,live,4,complete,0.46
0,1,coop,coop,SH,opt,trust,batch8,9033,live,4,complete,0.46
1,2,coop,coop,HG,pess,pess,batch8,9036,live,4,complete,0.22
2,3,def,def,PD,pess,pess,batch8,9036,live,4,complete,0.22
3,4,coop,coop,SG,pess,pess,batch8,9036,live,4,complete,0.22
0,1,def,def,SH,pess,pess,batch8,9036,live,4,complete,0.22
1,2,coop,coop,HG,pess,pess,batch8,9037,live,4,complete,0.62
2,3,def,def,PD,pess,pess,batch8,9037,live,4,complete,0.62
3,4,coop,coop,SG,pess,pess,batch8,9037,live,4,complete,0.62
0,1,def,def,SH,pess,pess,batch8,9037,live,4,complete,0.62
1,2,coop,coop,HG,trust,opt,batch8,9038,live,4,complete,0.59
2,3,coop,def,PD,trust,opt,batch8,9038,live,4,complete,0.59
3,4,coop,def,SG,trust,opt,batch8,9038,live,4,complete,0.59
0,1,coop,coop,SH,trust,opt,batch8,9038,live,4,complete,0.59
1,2,coop,coop,HG,trust,trust,batch8,9040,live,4,complete,0.28
2,3,coop,coop,PD,trust,trust,batch8,9040,live,4,complete,0.28
3,4,coop,coop,SG,trust,trust,batch8,9040,live,4,complete,0.28
0,1,coop,coop,SH,trust,trust,batch8,9040,live,4,complete,0.28
1,2,coop,coop,HG,trust,trust,batch8,9041,live,4,complete,0.38
2,3,coop,coop,PD,trust,trust,batch8,9041,live,4,complete,0.38
3,4,coop,coop,SG,trust,trust,batch8,9041,live,4,complete,0.38
0,1,coop,coop,SH,trust,trust,batch8,9041,live,4,complete,0.38
1,2,coop,coop,HG,trust,trust,batch8,9044,live,4,complete,0.24
2,3,coop,coop,PD,trust,trust,batch8,9044,live,4,complete,0.24
3,4,coop,coop,SG,trust,trust,batch8,9044,live,4,complete,0.24
0,1,coop,coop,SH,trust,trust,batch8,9044,live,4,complete,0.24
1,2,coop,coop,HG,opt,opt,batch8,9045,live,4,complete,0.23
2,3,def,def,PD,opt,opt,batch8,9045,live,4,complete,0.23
3,4,def,def,SG,opt,opt,batch8,9045,live,4,complete,0.23
0,1,coop,coop,SH,opt,opt,batch8,9045,live,4,complete,0.23
1,2,def,coop,HG,env,opt,batch8,9047,live,4,complete,0.68
2,3,def,def,PD,env,opt,batch8,9047,live,4,complete,0.68
3,4,def,def,SG,env,opt,batch8,9047,live,4,complete,0.68
0,1,def,coop,SH,env,opt,batch8,9047,live,4,complete,0.68
1,2,coop,coop,HG,trust,trust,batch8,9048,live,4,complete,0.27
2,3,coop,coop,PD,trust,trust,batch8,9048,live,4,complete,0.27
3,4,coop,coop,SG,trust,trust,batch8,9048,live,4,complete,0.27
0,1,coop,coop,SH,trust,trust,batch8,9048,live,4,complete,0.27
1,2,coop,coop,HG,opt,trust,batch8,9051,live,4,complete,0.33
2,3,def,coop,PD,opt,trust,batch8,9051,live,4,complete,0.33
3,4,def,coop,SG,opt,trust,batch8,9051,live,4,complete,0.33
0,1,coop,coop,SH,opt,trust,batch8,9051,live,4,complete,0.33
1,2,coop,coop,HG,trust,trust,batch8,9052,live,4,complete,0.24
2,3,coop,coop,PD,trust,trust,batch8,9052,live,4,complete,0.24
3,4,coop,coop,SG,trust,trust,batch8,9052,live,4,complete,0.24
0,1,coop,coop,SH,trust,trust,batch8,9052,live,4,complete,0.24
1,2,coop,coop,HG,trust,trust,batch8,9053,live,4,complete,0.2
2,3,coop,coop,PD,trust,trust,batch8,9053,live,4,complete,0.2
3,4,coop,coop,SG,trust,trust,batch8,9053,live,4,complete,0.2
0,1,coop,coop,SH,trust,trust,batch8,9053,live,4,complete,0.2
1,2,coop,coop,HG,trust,none,batch8,9056,live,4,complete,0.65
2,3,coop,def,PD,trust,none,batch8,9056,live,4,complete,0.65
3,4,coop,coop,SG,trust,none,batch8,9056,live,4,complete,0.65
0,1,coop,coop,SH,trust,none,batch8,9056,live,4,complete,0.65
1,2,coop,coop,HG,Nash,opt,batch8,9057,live,4,complete,0.19
2,3,def,def,PD,Nash,opt,batch8,9057,live,4,complete,0.19
3,4,def,def,SG,Nash,opt,batch8,9057,live,4,complete,0.19
0,1,def,coop,SH,Nash,opt,batch8,9057,live,4,complete,0.19
1,2,coop,coop,HG,opt,opt,batch8,9058,live,4,complete,0.56
2,3,def,def,PD,opt,opt,batch8,9058,live,4,complete,0.56
3,4,def,def,SG,opt,opt,batch8,9058,live,4,complete,0.56
0,1,coop,coop,SH,opt,opt,batch8,9058,live,4,complete,0.56
1,2,coop,coop,HG,opt,none,batch8,9059,live,4,complete,0.54
2,3,def,def,PD,opt,none,batch8,9059,live,4,complete,0.54
3,4,def,coop,SG,opt,none,batch8,9059,live,4,complete,0.54
0,1,coop,coop,SH,opt,none,batch8,9059,live,4,complete,0.54
1,2,coop,coop,HG,trust,trust,batch8,9060,live,4,complete,0.22
2,3,coop,coop,PD,trust,trust,batch8,9060,live,4,complete,0.22
3,4,coop,coop,SG,trust,trust,batch8,9060,live,4,complete,0.22
0,1,coop,coop,SH,trust,trust,batch8,9060,live,4,complete,0.22
1,2,coop,coop,HG,trust,trust,batch8,9061,live,4,complete,0.36
2,3,coop,coop,PD,trust,trust,batch8,9061,live,4,complete,0.36
3,4,coop,coop,SG,trust,trust,batch8,9061,live,4,complete,0.36
0,1,coop,coop,SH,trust,trust,batch8,9061,live,4,complete,0.36
1,2,coop,coop,HG,trust,trust,batch8,9066,live,4,complete,0.22
2,3,coop,coop,PD,trust,trust,batch8,9066,live,4,complete,0.22
3,4,coop,coop,SG,trust,trust,batch8,9066,live,4,complete,0.22
0,1,coop,coop,SH,trust,trust,batch8,9066,live,4,complete,0.22
1,2,coop,coop,HG,pess,pess,batch8,9069,live,4,complete,0.69
2,3,def,def,PD,pess,pess,batch8,9069,live,4,complete,0.69
3,4,coop,coop,SG,pess,pess,batch8,9069,live,4,complete,0.69
0,1,def,def,SH,pess,pess,batch8,9069,live,4,complete,0.69
1,2,coop,coop,HG,opt,trust,batch8,9070,live,4,complete,0.62
2,3,def,coop,PD,opt,trust,batch8,9070,live,4,complete,0.62
3,4,def,coop,SG,opt,trust,batch8,9070,live,4,complete,0.62
0,1,coop,coop,SH,opt,trust,batch8,9070,live,4,complete,0.62
1,2,coop,coop,HG,opt,opt,batch8,9071,live,4,complete,0.49
2,3,def,def,PD,opt,opt,batch8,9071,live,4,complete,0.49
3,4,def,def,SG,opt,opt,batch8,9071,live,4,complete,0.49
0,1,coop,coop,SH,opt,opt,batch8,9071,live,4,complete,0.49
1,2,coop,coop,HG,pess,Nash,batch8,9072,live,4,complete,0.43
2,3,def,def,PD,pess,Nash,batch8,9072,live,4,complete,0.43
3,4,coop,def,SG,pess,Nash,batch8,9072,live,4,complete,0.43
0,1,def,def,SH,pess,Nash,batch8,9072,live,4,complete,0.43
1,2,coop,coop,HG,opt,trust,batch8,9073,live,4,complete,0.58
2,3,def,coop,PD,opt,trust,batch8,9073,live,4,complete,0.58
3,4,def,coop,SG,opt,trust,batch8,9073,live,4,complete,0.58
0,1,coop,coop,SH,opt,trust,batch8,9073,live,4,complete,0.58
1,2,coop,coop,HG,none,opt,batch8,9074,live,4,complete,0.61
2,3,coop,def,PD,none,opt,batch8,9074,live,4,complete,0.61
3,4,def,def,SG,none,opt,batch8,9074,live,4,complete,0.61
0,1,coop,coop,SH,none,opt,batch8,9074,live,4,complete,0.61
1,2,coop,coop,HG,pess,pess,batch8,9076,live,4,complete,0.66
2,3,def,def,PD,pess,pess,batch8,9076,live,4,complete,0.66
3,4,coop,coop,SG,pess,pess,batch8,9076,live,4,complete,0.66
0,1,def,def,SH,pess,pess,batch8,9076,live,4,complete,0.66
1,2,coop,coop,HG,opt,opt,batch8,9078,live,4,complete,0.38
2,3,def,def,PD,opt,opt,batch8,9078,live,4,complete,0.38
3,4,def,def,SG,opt,opt,batch8,9078,live,4,complete,0.38
0,1,coop,coop,SH,opt,opt,batch8,9078,live,4,complete,0.38
1,2,coop,coop,HG,trust,trust,batch8,9079,live,4,complete,0.6
2,3,coop,coop,PD,trust,trust,batch8,9079,live,4,complete,0.6
3,4,coop,coop,SG,trust,trust,batch8,9079,live,4,complete,0.6
0,1,coop,coop,SH,trust,trust,batch8,9079,live,4,complete,0.6
1,2,coop,coop,HG,trust,trust,batch8,9080,live,4,complete,0.32
2,3,coop,coop,PD,trust,trust,batch8,9080,live,4,complete,0.32
3,4,coop,coop,SG,trust,trust,batch8,9080,live,4,complete,0.32
0,1,coop,coop,SH,trust,trust,batch8,9080,live,4,complete,0.32
